,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%)
"1995","02","아시아","인도네시아","2,402","0.88","794","0.44","22","0.15","3","0.16","3","0.42","1,580","2.12"
"1995","02","아시아","태국","4,905","1.80","2,254","1.25","16","0.11","29","1.56","1","0.14","2,605","3.49"
"1995","02","아시아","베트남","1,153","0.42","111","0.06","51","0.34","2","0.11","4","0.56","985","1.32"
"1995","02","아시아","인도","2,517","0.92","373","0.21","437","2.90","15","0.81","0","0.00","1,692","2.27"
"1995","02","아시아","말레이시아","2,544","0.93","1,639","0.91","13","0.09","1","0.05","74","10.34","817","1.10"
"1995","02","아시아","싱가포르","3,004","1.10","1,906","1.06","22","0.15","3","0.16","0","0.00","1,073","1.44"
"1995","02","아시아","몽골","430","0.16","352","0.19","56","0.37","6","0.32","16","2.23","0","0.00"
"1995","02","아시아","우즈베키스탄","393","0.14","96","0.05","1","0.01","28","1.50","0","0.00","268","0.36"
"1995","02","아시아","미얀마","1,011","0.37","69","0.04","23","0.15","0","0.00","1","0.14","918","1.23"
"1995","02","아시아","GCC","45","0.02","24","0.01","10","0.07","0","0.00","0","0.00","11","0.01"
"1995","02","아시아","카자흐스탄","283","0.10","185","0.10","1","0.01","0","0.00","0","0.00","97","0.13"
"1995","02","아시아","터키","407","0.15","126","0.07","1","0.01","0","0.00","3","0.42","277","0.37"
"1995","02","아시아","캄보디아","2","0.00","0","0.00","2","0.01","0","0.00","0","0.00","0","0.00"
"1995","02","아시아","스리랑카","256","0.09","29","0.02","20","0.13","2","0.11","3","0.42","202","0.27"
"1995","02","아시아","방글라데시","457","0.17","135","0.07","17","0.11","5","0.27","1","0.14","299","0.40"
"1995","02","아시아","파키스탄","620","0.23","199","0.11","9","0.06","2","0.11","2","0.28","408","0.55"
"1995","02","아시아","이스라엘","236","0.09","152","0.08","5","0.03","0","0.00","0","0.00","79","0.11"
"1995","02","아시아","이란","202","0.07","18","0.01","83","0.55","1","0.05","1","0.14","99","0.13"
"1995","02","아시아","아시아 기타","301","0.11","189","0.10","27","0.18","3","0.16","2","0.28","80","0.11"
"1995","02","아시아 소계","","191,733","70.29","147,334","81.59","9,857","65.43","407","21.87","480","67.04","33,655","45.14"
"1995","02","아메리카","미국","22,580","8.28","13,897","7.70","3,383","22.46","1,369","73.56","139","19.41","3,792","5.09"
"1995","02","아메리카","캐나다","2,381","0.87","1,879","1.04","82","0.54","2","0.11","13","1.82","405","0.54"
"1995","02","아메리카","브라질","667","0.24","520","0.29","6","0.04","0","0.00","4","0.56","137","0.18"
"1995","02","아메리카","멕시코","194","0.07","95","0.05","2","0.01","1","0.05","1","0.14","95","0.13"
"1995","02","아메리카","아메리카 기타","524","0.19","390","0.22","21","0.14","1","0.05","6","0.84","106","0.14"
"1995","02","아메리카 소계","","26,346","9.66","16,781","9.29","3,494","23.19","1,373","73.78","163","22.77","4,535","6.08"
"1995","02","유럽","러시아","11,449","4.20","2,964","1.64","729","4.84","15","0.81","10","1.40","7,731","10.37"
"1995","02","유럽","영국","3,359","1.23","2,555","1.41","164","1.09","2","0.11","1","0.14","637","0.85"
"1995","02","유럽","독일","3,138","1.15","2,279","1.26","183","1.21","6","0.32","8","1.12","662","0.89"
"1995","02","유럽","프랑스","1,646","0.60","1,199","0.66","102","0.68","28","1.50","10","1.40","307","0.41"
"1995","02","유럽","이탈리아","1,097","0.40","875","0.48","17","0.11","0","0.00","1","0.14","204","0.27"
"1995","02","유럽","네덜란드","791","0.29","559","0.31","20","0.13","1","0.05","2","0.28","209","0.28"
"1995","02","유럽","우크라이나","517","0.19","34","0.02","7","0.05","0","0.00","0","0.00","476","0.64"
"1995","02","유럽","스페인","343","0.13","239","0.13","6","0.04","0","0.00","0","0.00","98","0.13"
"1995","02","유럽","루마니아","217","0.08","50","0.03","21","0.14","0","0.00","0","0.00","146","0.20"
"1995","02","유럽","노르웨이","555","0.20","300","0.17","13","0.09","0","0.00","0","0.00","242","0.32"
"1995","02","유럽","스웨덴","463","0.17","365","0.20","26","0.17","3","0.16","3","0.42","66","0.09"
"1995","02","유럽","폴란드","2,422","0.89","1,374","0.76","4","0.03","0","0.00","0","0.00","1,044","1.40"
"1995","02","유럽","스위스","494","0.18","432","0.24","24","0.16","0","0.00","2","0.28","36","0.05"
"1995","02","유럽","포르투갈","382","0.14","371","0.21","1","0.01","0","0.00","1","0.14","9","0.01"
"1995","02","유럽","오스트리아","303","0.11","257","0.14","14","0.09","0","0.00","1","0.14","31","0.04"
"1995","02","유럽","핀란드","243","0.09","213","0.12","10","0.07","0","0.00","1","0.14","19","0.03"
"1995","02","유럽","벨기에","242","0.09","194","0.11","14","0.09","0","0.00","0","0.00","34","0.05"
"1995","02","유럽","크로아티아","216","0.08","17","0.01","8","0.05","0","0.00","0","0.00","191","0.26"
"1995","02","유럽","그리스","1,054","0.39","214","0.12","6","0.04","0","0.00","0","0.00","834","1.12"
"1995","02","유럽","불가리아","291","0.11","87","0.05","0","0.00","0","0.00","1","0.14","203","0.27"
"1995","02","유럽","덴마크","329","0.12","207","0.11","22","0.15","0","0.00","0","0.00","100","0.13"
"1995","02","유럽","아일랜드","128","0.05","93","0.05","4","0.03","0","0.00","0","0.00","31","0.04"
"1995","02","유럽","유럽 기타","294","0.11","159","0.09","19","0.13","4","0.21","3","0.42","109","0.15"
"1995","02","유럽 소계","","29,973","10.99","15,037","8.33","1,414","9.39","59","3.17","44","6.15","13,419","18.00"
"1995","02","오세아니아","오스트레일리아","1,686","0.62","997","0.55","188","1.25","14","0.75","27","3.77","460","0.62"
"1995","02","오세아니아","뉴질랜드","332","0.12","217","0.12","14","0.09","0","0.00","0","0.00","101","0.14"
"1995","02","오세아니아","오세아니아 기타","128","0.05","36","0.02","1","0.01","3","0.16","0","0.00","88","0.12"
"1995","02","오세아니아 소계","","2,146","0.79","1,250","0.69","203","1.35","17","0.91","27","3.77","649","0.87"
"1995","02","아프리카","남아프리카공화국","107","0.04","59","0.03","8","0.05","0","0.00","0","0.00","40","0.05"
"1995","02","아프리카","아프리카 기타","495","0.18","126","0.07","89","0.59","5","0.27","2","0.28","273","0.37"
"1995","02","아프리카 소계","","602","0.22","185","0.10","97","0.64","5","0.27","2","0.28","313","0.42"
"1995","02","기타","국적미상","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"1995","02","기타 소계","","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"1995","02","교포","교포","21,986","8.06","0","0.00","0","0.00","0","0.00","0","0.00","21,986","29.49"
"1995","02","교포 소계","","21,986","8.06","0","0.00","0","0.00","0","0.00","0","0.00","21,986","29.49"
"1995","02 소계","","","272,786","100.00","180,587","100.00","15,065","100.00","1,861","100.00","716","100.00","74,557","100.00"
"1995","03","아시아","중국","14,112","4.59","1,968","0.96","2,435","15.50","132","7.01","67","14.86","9,510","11.19"
"1995","03","아시아","일본","141,609","46.06","132,321","64.73","6,452","41.06","162","8.60","218","48.34","2,456","2.89"
"1995","03","아시아","대만","10,919","3.55","10,153","4.97","43","0.27","5","0.27","8","1.77","710","0.84"
"1995","03","아시아","홍콩","7,840","2.55","7,264","3.55","32","0.20","0","0.00","0","0.00","544","0.64"
"1995","03","아시아","필리핀","13,363","4.35","1,859","0.91","265","1.69","25","1.33","9","2.00","11,205","13.19"
"1995","03","아시아","인도네시아","2,621","0.85","975","0.48","31","0.20","2","0.11","2","0.44","1,611","1.90"
